epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1651,2.03476,2.6893,1.34557,0.29411,0.50298,0.28624,0.11996,1.8212,2.95849,1.29557,0.00054409,0.00054409,0.00054409
2,20.0329,1.84052,1.68216,1.24917,0.33507,0.46078,0.29106,0.11409,2.0225,2.04241,1.44443,0.00107798,0.00107798,0.00107798
3,29.9489,1.85207,1.61275,1.25944,0.3509,0.47315,0.35917,0.14349,1.99221,1.86359,1.43793,0.00158987,0.00158987,0.00158987
4,39.822,1.86483,1.63437,1.26628,0.30708,0.50694,0.33407,0.13761,1.99489,2.0349,1.39457,0.00156798,0.00156798,0.00156798
5,49.6588,1.79997,1.56454,1.25322,0.43403,0.51537,0.44488,0.18982,1.83302,1.64535,1.3467,0.00153497,0.00153497,0.00153497
6,59.5562,1.78011,1.48497,1.23896,0.48815,0.50212,0.47446,0.20808,1.84664,1.69792,1.35131,0.00150197,0.00150197,0.00150197
7,69.494,1.76962,1.45759,1.23898,0.53029,0.54012,0.55261,0.24566,1.81455,1.54582,1.3573,0.00146896,0.00146896,0.00146896
8,79.4835,1.74805,1.42969,1.20658,0.56342,0.60019,0.60004,0.27077,1.75996,1.45,1.3168,0.00143595,0.00143595,0.00143595
9,89.5073,1.71437,1.34129,1.20881,0.55775,0.52601,0.55726,0.25517,1.77902,1.73656,1.3235,0.00140295,0.00140295,0.00140295
10,99.3819,1.70779,1.33499,1.205,0.54629,0.59659,0.60193,0.27172,1.77169,1.49797,1.30196,0.00136994,0.00136994,0.00136994
11,109.267,1.67287,1.28014,1.19304,0.53465,0.60581,0.59217,0.27503,1.81519,1.47377,1.33574,0.00133693,0.00133693,0.00133693
12,119.205,1.69109,1.29795,1.20737,0.61312,0.57972,0.59265,0.26253,1.85288,1.4699,1.32801,0.00130393,0.00130393,0.00130393
13,129.12,1.65678,1.22979,1.17148,0.5436,0.60986,0.623,0.28365,1.74942,1.54545,1.29135,0.00127092,0.00127092,0.00127092
14,139.075,1.63298,1.23096,1.16385,0.66372,0.60896,0.66747,0.31147,1.7389,1.26604,1.27569,0.00123791,0.00123791,0.00123791
15,148.965,1.60896,1.17296,1.14638,0.64493,0.609,0.66736,0.32267,1.73497,1.2797,1.27927,0.00120491,0.00120491,0.00120491
16,158.908,1.62145,1.15614,1.16174,0.58967,0.62384,0.63906,0.29909,1.76651,1.33287,1.29088,0.0011719,0.0011719,0.0011719
17,168.864,1.60361,1.14157,1.16035,0.60396,0.65065,0.6608,0.3123,1.75393,1.26017,1.29002,0.00113889,0.00113889,0.00113889
18,178.865,1.60127,1.14009,1.14322,0.6512,0.62032,0.66494,0.31529,1.73077,1.32595,1.27652,0.00110589,0.00110589,0.00110589
19,188.849,1.5899,1.10508,1.13553,0.6575,0.6473,0.68558,0.33617,1.71401,1.24159,1.26479,0.00107288,0.00107288,0.00107288
20,198.848,1.55213,1.07754,1.13066,0.67112,0.67812,0.71432,0.34414,1.72202,1.16414,1.28052,0.00103987,0.00103987,0.00103987
21,208.811,1.54741,1.07028,1.11303,0.66825,0.61107,0.65738,0.30569,1.83734,1.2528,1.30481,0.00100687,0.00100687,0.00100687
22,218.711,1.53256,1.04605,1.11674,0.66911,0.69311,0.70214,0.34091,1.74324,1.14396,1.27502,0.000973861,0.000973861,0.000973861
23,228.652,1.52442,1.02828,1.10443,0.67574,0.64159,0.69228,0.3327,1.71745,1.20677,1.274,0.000940855,0.000940855,0.000940855
24,238.582,1.50994,1.01188,1.09529,0.64709,0.68464,0.70057,0.33186,1.71976,1.18086,1.27527,0.000907848,0.000907848,0.000907848
25,248.569,1.47714,0.994,1.09883,0.70059,0.61509,0.70238,0.34868,1.7027,1.18212,1.26356,0.000874842,0.000874842,0.000874842
26,258.538,1.48848,0.97432,1.10118,0.67164,0.63802,0.70633,0.34056,1.71763,1.18823,1.27663,0.000841835,0.000841835,0.000841835
27,268.493,1.45996,0.96981,1.08695,0.68277,0.69067,0.72616,0.34386,1.74073,1.13567,1.27519,0.000808828,0.000808828,0.000808828
28,278.531,1.44389,0.93302,1.07912,0.72575,0.65185,0.73056,0.34877,1.74898,1.08357,1.26757,0.000775822,0.000775822,0.000775822
29,288.635,1.42987,0.92645,1.08077,0.6803,0.69107,0.72717,0.34683,1.73244,1.12786,1.2881,0.000742815,0.000742815,0.000742815
30,298.6,1.41579,0.92363,1.07476,0.67277,0.71788,0.73369,0.36442,1.67027,1.09324,1.26196,0.000709809,0.000709809,0.000709809
31,308.606,1.43466,0.9218,1.07173,0.71834,0.70159,0.74757,0.36837,1.70545,1.06478,1.28272,0.000676802,0.000676802,0.000676802
32,318.637,1.38745,0.90011,1.06286,0.68003,0.66141,0.71924,0.35528,1.69814,1.09783,1.26965,0.000643795,0.000643795,0.000643795
33,328.669,1.37968,0.88688,1.055,0.67859,0.7124,0.73671,0.35581,1.75196,1.07748,1.28346,0.000610789,0.000610789,0.000610789
34,338.674,1.34626,0.84946,1.03571,0.75882,0.67343,0.75196,0.37226,1.72896,1.02394,1.28896,0.000577782,0.000577782,0.000577782
35,348.671,1.36165,0.85122,1.04465,0.70722,0.71044,0.7448,0.3673,1.69995,1.03111,1.28111,0.000544776,0.000544776,0.000544776
36,358.641,1.36723,0.86281,1.04512,0.7018,0.70373,0.74029,0.36565,1.68792,1.04047,1.26634,0.000511769,0.000511769,0.000511769
37,368.571,1.34204,0.82762,1.04179,0.71286,0.72071,0.75361,0.36996,1.69889,1.05728,1.26963,0.000478762,0.000478762,0.000478762
38,378.57,1.29821,0.79011,1.03309,0.68716,0.71567,0.7528,0.37261,1.74194,1.04353,1.30107,0.000445756,0.000445756,0.000445756
39,388.577,1.30252,0.78373,1.0281,0.72515,0.72528,0.76569,0.38488,1.69841,1.00815,1.27276,0.000412749,0.000412749,0.000412749
40,398.553,1.28323,0.7745,1.02153,0.7227,0.7047,0.75356,0.37963,1.70805,1.00744,1.26496,0.000379743,0.000379743,0.000379743
41,409.187,1.27663,0.76841,1.03841,0.73282,0.69542,0.75411,0.374,1.7218,1.01335,1.29089,0.000346736,0.000346736,0.000346736
42,419.138,1.26218,0.74529,1.0244,0.72036,0.65112,0.73221,0.36733,1.72493,1.02988,1.29075,0.000313729,0.000313729,0.000313729
43,429.014,1.22574,0.70629,1.02425,0.70548,0.69903,0.73851,0.36607,1.73186,1.04567,1.29732,0.000280723,0.000280723,0.000280723
44,438.937,1.22415,0.7028,1.00992,0.71738,0.7125,0.74368,0.36408,1.72795,1.04016,1.29891,0.000247716,0.000247716,0.000247716
45,448.841,1.21662,0.69856,1.01561,0.72638,0.69687,0.73991,0.37504,1.71322,1.03256,1.29089,0.00021471,0.00021471,0.00021471
46,458.752,1.17864,0.67919,1.00298,0.71322,0.69555,0.73979,0.37464,1.70625,1.05563,1.28563,0.000181703,0.000181703,0.000181703
47,468.666,1.16589,0.66337,0.99003,0.71204,0.7149,0.74886,0.38089,1.7201,1.03479,1.29242,0.000148696,0.000148696,0.000148696
48,478.537,1.15388,0.64202,0.98798,0.71114,0.71879,0.75629,0.38192,1.71716,1.00884,1.29801,0.00011569,0.00011569,0.00011569
49,488.48,1.15261,0.65127,0.98503,0.71882,0.73022,0.75396,0.38311,1.71375,1.01334,1.29789,8.26832e-05,8.26832e-05,8.26832e-05
50,498.419,1.13598,0.62788,0.98427,0.71132,0.73139,0.75686,0.38169,1.70698,1.00737,1.28975,4.96766e-05,4.96766e-05,4.96766e-05
